Suits,Value,WhoCalled,OurScore,TheirScore
4,10,1,4,22
1,10,0,29,23
3,10,1,35,43
0,13,1,64,43
1,15,1,95,43
4,10,1,95,69
3,10,0,117,73
0,10,0,141,75
1,14,0,170,76
0,10,1,196,76
0,13,0,196,105
2,10,0,196,131
1,13,1,197,159
2,10,0,219,163
1,13,1,222,189
0,10,1,224,213
0,10,0,224,239
1,13,0,252,240
0,10,0,252,266
4,10,0,277,267
1,10,0,298,272
3,13,0,298,301
3,10,0,20,6
3,10,0,43,9
0,10,1,69,9
1,10,0,69,35
1,13,1,98,35
3,13,1,127,35
1,10,0,152,36
0,13,1,181,36
0,13,1,181,65
1,10,0,202,70
0,10,0,227,71
2,13,1,256,71
2,10,0,278,75
3,10,0,301,78
0,10,0,26,0
2,10,0,26,26
3,10,0,51,27
4,10,0,71,33
2,13,0,71,62
0,10,1,74,85
3,10,0,94,91
1,10,0,94,117
2,15,0,94,148
2,10,0,120,148
3,10,0,143,151
1,10,0,143,177
0,13,0,143,206
1,10,1,169,206
0,10,0,169,232
1,10,0,191,236
3,10,1,217,236
0,10,1,243,236
0,15,1,274,236
3,10,1,279,257
2,10,0,299,263
0,10,1,304,284
1,14,1,30,0
3,10,1,36,20
1,10,1,41,41
2,10,0,41,67
0,10,0,41,93
2,10,1,46,114
4,10,1,52,134
1,10,1,78,134
3,10,0,100,138
3,10,0,121,143
0,13,1,150,143
3,13,0,150,172
3,13,0,176,175
2,10,1,182,195
2,13,1,184,222
2,10,0,184,248
2,10,0,184,274
0,13,0,184,303
3,10,1,0,26
0,13,0,0,55
0,10,0,0,81
3,13,0,28,82
3,10,1,34,102
2,13,0,61,104
1,10,1,66,125
2,13,0,93,127
0,13,1,93,156
2,10,0,116,159
2,13,1,145,159
1,10,1,171,159
1,13,0,199,160
2,10,0,199,186
2,10,0,199,212
0,10,0,199,238
2,10,0,222,241
3,10,1,224,265
3,10,0,224,291
0,10,0,247,294
0,10,1,248,319
0,10,0,24,2
3,13,0,51,4
3,10,1,77,4
4,10,0,102,5
4,10,1,104,29
1,10,0,125,34
1,13,1,154,34
0,10,0,154,60
3,10,0,154,86
3,10,0,176,90
0,10,0,200,92
1,10,0,223,95
3,13,1,252,95
0,13,1,281,95
1,13,0,281,124
1,15,1,312,124
3,10,1,2,24
0,10,1,7,45
2,10,1,13,65
1,13,1,42,65
2,10,0,64,69
1,10,0,84,75
4,10,0,107,78
3,10,1,133,78
1,10,1,137,100
4,10,1,163,100
2,10,0,163,126
3,10,0,163,152
3,10,1,189,152
3,13,1,218,152
0,13,0,218,181
1,10,1,223,202
4,10,1,249,202
0,10,1,275,202
0,13,1,304,202
1,13,1,1,28
3,13,0,1,57
3,10,1,4,80
4,10,0,24,86
3,10,0,45,91
1,10,0,45,117
3,13,1,74,117
2,13,1,103,117
3,13,0,103,146
3,10,0,125,150
2,13,0,152,152
1,10,1,157,173
2,13,1,186,173
0,10,1,191,194
3,10,0,216,195
1,13,0,243,197
0,13,1,272,197
2,13,0,272,226
3,10,1,298,226
2,15,1,329,226
0,13,0,27,2
0,10,1,32,23
2,10,1,37,44
3,13,0,37,73
1,13,1,40,99
4,10,1,66,99
1,10,0,90,101
0,10,0,90,127
2,13,0,90,156
3,10,0,90,182
3,10,0,116,182
1,13,1,145,182
0,13,1,146,210
0,13,1,146,239
3,13,0,172,242
2,10,0,193,247
3,10,0,193,273
1,10,0,215,277
4,10,0,239,279
2,10,0,260,284
0,13,0,288,285
3,13,0,288,314
1,10,0,0,26
0,14,1,30,26
1,13,1,59,26
1,10,1,61,50
4,10,0,85,52
3,10,0,106,57
3,10,0,128,61
3,10,0,152,63
2,10,0,173,68
1,13,1,202,68
0,10,0,202,94
0,10,1,206,116
4,10,0,226,122
0,13,1,228,149
1,13,1,231,175
1,10,1,257,175
3,13,1,257,204
0,10,0,279,208
0,10,0,301,212
1,13,1,29,0
0,10,0,29,26
3,10,0,49,32
3,10,0,71,36
1,13,0,99,37
3,13,0,99,66
3,13,1,128,66
4,10,0,128,92
1,10,1,154,92
2,14,0,154,122
0,10,0,176,126
1,13,1,205,126
2,10,1,231,126
1,10,0,231,152
0,10,1,257,152
1,15,1,288,152
3,13,0,288,181
3,10,1,288,207
1,10,0,311,210
2,10,1,2,24
1,13,0,29,26
2,13,1,31,53
2,13,1,32,81
2,10,0,53,86
0,13,0,53,115
2,10,0,77,117
3,10,0,98,122
2,13,1,98,151
1,10,1,104,171
0,10,0,126,175
1,10,0,126,201
0,13,0,153,203
2,10,0,153,229
2,10,0,174,234
3,14,1,174,264
3,13,0,174,293
1,13,0,201,295
0,13,1,201,324
1,10,1,26,0
1,13,1,55,0
4,10,1,81,0
0,10,0,101,6
1,13,0,129,7
3,13,0,156,9
2,13,1,156,38
2,10,0,182,38
4,10,1,187,59
3,13,0,215,60
0,13,1,244,60
2,10,0,244,86
3,10,1,248,108
0,14,0,248,138
0,10,1,250,162
1,10,1,276,162
2,13,1,305,162
0,10,1,3,23
1,10,0,23,29
3,14,0,52,30
1,10,1,55,53
3,10,0,55,79
0,10,0,55,105
3,10,1,59,127
1,13,1,61,154
1,10,1,63,178
3,15,0,63,209
4,10,1,63,235
1,10,0,83,241
3,13,1,112,241
1,10,0,134,245
2,10,1,137,268
0,10,1,163,268
0,10,0,185,272
4,10,0,210,273
1,10,0,232,277
1,10,0,257,278
2,13,0,286,278
4,10,0,310,280
2,13,0,0,29
1,10,0,20,35
0,10,0,43,38
2,10,0,43,64
0,10,1,69,64
4,10,0,69,90
3,10,0,94,91
4,10,1,94,117
2,13,0,94,146
0,10,1,97,169
3,10,1,103,189
2,10,0,103,215
2,13,1,132,215
0,13,0,159,217
2,13,1,188,217
3,10,1,214,217
1,10,1,240,217
2,10,1,246,237
3,13,0,246,266
1,10,1,252,286
2,10,1,278,286
1,13,0,304,289
1,10,0,20,6
2,10,0,20,32
1,10,0,41,37
4,10,0,65,39
3,13,0,65,68
0,10,0,65,94
1,10,0,65,120
3,10,0,87,124
2,10,0,108,129
2,10,1,110,153
0,10,0,132,157
1,13,1,161,157
3,10,1,187,157
3,10,1,189,181
1,10,0,189,207
3,10,1,215,207
3,15,0,215,238
3,13,1,217,265
3,10,0,241,267
1,10,0,265,269
4,10,1,266,294
0,10,0,266,320
3,13,1,1,28
3,13,1,30,28
4,10,0,52,32
4,10,0,74,36
0,10,0,100,36
2,14,1,130,36
1,13,1,130,65
0,10,0,153,68
4,10,1,179,68
3,13,0,205,71
1,10,1,231,71
2,13,0,259,72
2,10,1,262,95
0,15,1,262,126
0,13,0,262,155
1,10,0,284,159
3,10,1,310,159
2,10,0,0,26
0,10,1,1,51
1,10,0,26,52
1,13,0,54,53
3,10,1,57,76
0,13,1,86,76
3,10,0,109,79
1,13,0,109,108
4,10,1,135,108
3,10,0,135,134
1,13,0,162,136
1,15,1,193,136
3,10,0,193,162
2,10,0,213,168
2,10,1,217,190
1,13,0,217,219
3,13,1,217,248
2,13,1,219,275
3,10,0,245,275
4,10,0,268,278
3,13,0,268,307
0,10,1,2,24
3,10,0,24,28
1,10,1,29,49
0,10,1,55,49
0,10,0,55,75
0,10,1,81,75
4,10,1,86,96
2,10,0,86,122
0,13,0,86,151
3,13,0,86,180
2,13,0,86,209
2,10,1,89,232
0,10,1,93,254
1,10,0,115,258
2,10,0,135,264
2,13,1,164,264
2,15,0,164,295
4,10,0,190,295
3,13,0,190,324
0,10,0,24,2
3,10,1,50,2
1,10,0,50,28
3,10,0,70,34
1,10,1,74,56
2,10,1,100,56
0,10,1,104,78
3,10,1,108,100
2,10,1,108,126
0,13,1,111,152
2,10,0,134,155
3,13,0,134,184
0,10,0,134,210
3,13,0,163,210
0,10,0,163,236
0,13,0,191,237
1,13,0,191,266
4,10,0,213,270
1,13,1,215,297
2,10,0,236,302
3,10,0,0,26
3,10,1,26,26
0,15,0,26,57
1,10,0,26,83
3,10,0,47,88
0,10,1,51,110
1,10,1,54,133
2,13,1,83,133
1,10,0,105,137
4,10,0,125,143
2,10,0,147,147
1,10,0,147,173
1,10,0,147,199
0,10,0,168,204
1,10,0,192,206
2,10,0,192,232
3,13,1,192,261
0,10,0,215,264
2,10,1,220,285
0,10,1,246,285
3,10,0,267,290
1,10,1,267,316
0,10,0,23,3
1,13,1,52,3
0,13,1,81,3
2,10,0,102,8
0,10,1,106,30
1,10,1,110,52
1,13,1,139,52
2,14,1,169,52
3,10,0,169,78
3,13,1,170,106
1,10,0,192,110
4,10,0,192,136
2,10,1,198,156
2,10,1,199,181
4,10,1,225,181
2,14,1,225,211
1,13,1,254,211
4,10,1,258,233
3,13,1,287,233
3,10,0,311,235
3,10,0,0,26
1,10,0,0,52
0,10,0,22,56
0,10,1,28,76
3,10,0,52,78
0,10,1,78,78
0,10,0,101,81
1,10,0,101,107
4,10,1,106,128
1,13,1,135,128
2,13,1,164,128
0,13,1,193,128
0,10,0,216,131
0,13,0,244,132
1,13,0,244,161
2,13,0,271,163
3,10,1,275,185
0,13,1,304,185
1,10,0,21,5
1,10,1,47,5
2,10,0,47,31
0,10,0,67,37
1,13,1,67,66
2,13,1,70,92
4,10,0,90,98
3,10,1,95,119
2,13,0,95,148
0,10,0,121,148
1,10,1,147,148
1,10,0,147,174
3,13,1,176,174
0,10,1,176,200
0,10,0,202,200
1,10,0,223,205
3,10,0,244,210
0,10,0,267,213
1,13,1,296,213
3,13,1,325,213
4,10,0,24,2
0,14,0,52,4
2,10,0,52,30
3,10,1,54,54
1,10,0,78,56
2,10,0,102,58
0,10,0,122,64
3,13,0,151,64
0,13,0,178,66
3,10,1,204,66
0,10,1,230,66
0,13,0,257,68
1,10,0,278,73
0,10,0,278,99
4,10,0,298,105
0,10,1,302,127
0,13,1,0,29
2,13,0,0,58
1,10,0,24,60
4,10,1,25,85
3,13,1,54,85
3,13,1,57,111
1,10,0,57,137
3,13,0,84,139
2,13,1,84,168
2,13,0,84,197
2,10,0,108,199
0,10,0,108,225
0,10,0,108,251
1,10,1,109,276
0,15,1,140,276
0,13,0,166,279
1,13,1,195,279
3,10,1,199,301
1,10,1,26,0
3,13,1,28,27
3,13,0,55,29
3,10,0,55,55
2,13,0,55,84
3,14,0,85,84
1,10,0,85,110
3,13,1,114,110
1,10,0,114,136
2,13,1,115,164
2,13,0,115,193
3,10,0,115,219
2,13,1,116,247
0,15,0,116,278
0,13,1,145,278
1,10,0,166,283
1,13,0,192,286
4,13,0,221,286
4,10,1,227,306
4,10,0,0,26
3,10,0,24,28
0,13,0,50,31
1,10,1,54,53
2,13,1,83,53
0,10,0,83,79
0,10,0,106,82
0,13,1,135,82
3,10,0,160,83
1,10,0,181,88
0,13,0,181,117
1,10,0,202,122
0,10,0,202,148
0,10,1,208,168
3,10,0,230,172
2,10,1,256,172
1,10,1,282,172
0,10,0,306,174
2,10,0,22,4
3,10,0,45,7
0,10,1,46,32
1,10,1,50,54
2,10,0,71,59
1,10,0,93,63
3,10,1,97,85
1,13,1,100,111
1,13,0,100,140
4,10,1,105,161
1,10,1,131,161
1,10,0,152,166
1,13,0,179,168
1,10,0,200,173
1,13,1,202,200
1,10,0,227,201
3,10,0,227,227
2,10,0,249,231
2,10,1,275,231
1,13,1,304,231
4,10,0,23,3
4,14,0,53,3
3,13,0,53,32
1,10,1,53,58
1,10,0,53,84
4,10,0,77,86
3,10,1,82,107
